Network|Station|Latitude|Longitude|Elevation|Sitename|StartTime|EndTime
2A|1233|36.89749|-97.789632|337.9|1233|2016-04-13T15:23:56|2016-05-13T14:46:11
2A|1234|36.897487|-97.780818|340.8|1234|2016-04-13T15:21:29|2016-05-13T14:42:35
2A|1235|36.897554|-97.776316|339.0|1235|2016-04-13T15:19:35|2016-05-13T14:39:39
2A|1236|36.897617|-97.77187|335.0|1236|2016-04-13T15:17:49|2016-05-13T14:37:13
2A|1237|36.897728|-97.763371|337.1|1237|2016-04-13T15:15:27|2016-05-13T14:32:20
2A|1238|36.897758|-97.758794|336.1|1238|2016-04-13T15:13:33|2016-05-13T14:29:22
2A|1239|36.897772|-97.754404|335.9|1239|2016-04-13T15:11:11|2016-05-13T14:24:18
2A|124|36.66588|-98.055634|340.2|124|2016-04-11T22:59:52|2016-05-10T13:23:32
2A|1240|36.883757|-97.987902|345.2|1240|2016-04-11T21:15:10|2016-05-12T20:41:23
2A|1241|36.883603|-97.979044|346.1|1241|2016-04-11T21:19:48|2016-05-12T20:53:37
2A|1242|36.882979|-97.974391|345.4|1242|2016-04-11T21:23:02|2016-05-12T20:58:45
2A|1243|36.883453|-97.969924|346.3|1243|2016-04-11T21:27:22|2016-05-12T21:05:20
2A|1244|36.883383|-97.96126|347.5|1244|2016-04-11T21:31:28|2016-05-12T21:07:41
2A|1245|36.883298|-97.95694|348.5|1245|2016-04-11T21:34:30|2016-05-12T21:09:51
2A|1246|36.883283|-97.952637|347.5|1246|2016-04-11T21:37:08|2016-05-12T21:12:42
2A|1247|36.883332|-97.943227|348.9|1247|2016-04-11T21:40:46|2016-05-12T21:15:10
